# index, node_type, node_subtype, name, _pos
88,SENSORY NEURONS,,PLNR,"array([  0.51320184, -16.86026184])"
89,SENSORY NEURONS,,SDQL,"array([ -4.31759261, -17.5348001 ])"
90,SENSORY NEURONS,,SDQR,"array([ -5.32629508, -16.81250363])"
91,SENSORY NEURONS,,AQR,"array([ -4.54955604, -16.56048169])"
92,SENSORY NEURONS,,PQR,"array([ -1.36365498, -15.93267887])"
93,SENSORY NEURONS,,ALML,"array([ -4.63364754, -13.54308233])"
94,SENSORY NEURONS,,ALMR,"array([ -2.55203097, -14.13593809])"
95,SENSORY NEURONS,,AVM,"array([ -2.18182928, -12.92727058])"
96,SENSORY NEURONS,,PVM,"array([ -2.76605458, -11.59168771])"
97,SENSORY NEURONS,,PLML,"array([  0.78644256, -16.00308026])"
98,SENSORY NEURONS,,PLMR,"array([  0.87116497, -17.53437928])"
99,SENSORY NEURONS,,FLPL,"array([ -4.88067963, -17.05942762])"
100,SENSORY NEURONS,,FLPR,"array([ -3.59867445, -17.76116841])"
101,SENSORY NEURONS,,DVA,"array([ -3.19432336, -17.49122588])"
102,SENSORY NEURONS,,PVDL,"array([ -0.57741582, -21.48579759])"
103,SENSORY NEURONS,,PVDR,"array([  1.2388385, -22.0829663])"
104,SENSORY NEURONS,,ADEL,"array([ -8.03706095, -15.89499759])"
105,SENSORY NEURONS,,ADER,"array([ -4.29888241, -14.43643023])"
106,SENSORY NEURONS,,PDEL,"array([ -0.27018211, -19.78581739])"
107,SENSORY NEURONS,,PDER,"array([ -0.27843453, -18.3267723 ])"
108,SENSORY NEURONS,,PHAL,"array([ -0.44731678, -14.66280979])"
109,SENSORY NEURONS,,PHAR,"array([ -0.35283379, -15.29439055])"
110,SENSORY NEURONS,,PHBL,"array([ -1.00495807, -15.29931729])"
111,SENSORY NEURONS,,PHBR,"array([ -1.22391537, -14.72265519])"
112,SENSORY NEURONS,,PHCL,"array([  0.1145597 , -15.90843316])"
113,SENSORY NEURONS,,PHCR,"array([ -0.59664739, -16.81227182])"
114,SENSORY NEURONS,,IL2DL,"array([23.12047846, -5.93826974])"
115,SENSORY NEURONS,,IL2DR,"array([-11.6876688 , -19.16497506])"
116,SENSORY NEURONS,,IL2L,"array([ -9.1449071, -14.6842896])"
117,SENSORY NEURONS,,IL2R,"array([ -6.7785091 , -11.00172204])"
118,SENSORY NEURONS,,IL2VL,"array([-11.05611781, -12.9683925 ])"
119,SENSORY NEURONS,,IL2VR,"array([-12.50434326, -11.8136474 ])"
120,SENSORY NEURONS,,CEPDL,"array([-11.97884387, -17.75262747])"
121,SENSORY NEURONS,,CEPDR,"array([-11.80649656, -14.17849577])"
122,SENSORY NEURONS,,CEPVL,"array([ -9.52352063, -12.81376826])"
123,SENSORY NEURONS,,CEPVR,"array([ -9.98116621, -12.1942518 ])"
124,SENSORY NEURONS,,URYDL,"array([ -5.18089599, -19.31986397])"
125,SENSORY NEURONS,,URYDR,"array([ -6.9968778 , -19.26716644])"
126,SENSORY NEURONS,,URYVL,"array([ -6.05876313, -19.25059024])"
127,SENSORY NEURONS,,URYVR,"array([  1.23916028, -18.77058373])"
128,SENSORY NEURONS,,OLLL,"array([ -9.56929619, -17.26100475])"
129,SENSORY NEURONS,,OLLR,"array([ -9.39364488, -18.41109877])"
130,SENSORY NEURONS,,OLQDL,"array([ -9.70136786, -16.67067521])"
131,SENSORY NEURONS,,OLQDR,"array([ -8.64347495, -14.8456618 ])"
132,SENSORY NEURONS,,OLQVL,"array([ -8.15030384, -15.02980902])"
133,SENSORY NEURONS,,OLQVR,"array([ -8.09482946, -14.21079227])"
