synapse_from,synapse_to,synapse_type,neurotransmitter,receptor,g_max_ns,delay_ms,weight,note
2511238,4393350,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2511238,5762666,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2511238,6692908,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2511238,8229118,chem,other,none,5.00,0.50,18,子图 MD 痛觉 内部化学连接
2511238,8412625,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2511238,8697453,chem,other,none,5.00,0.50,11,子图 MD 痛觉 内部化学连接
2511238,8805777,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2511238,8821758,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2511238,8939384,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2511238,8970595,chem,other,none,5.00,0.50,13,子图 MD 痛觉 内部化学连接
2511238,9051500,chem,other,none,5.00,0.50,7,子图 MD 痛觉 内部化学连接
2511238,9161929,chem,other,none,5.00,0.50,8,子图 MD 痛觉 内部化学连接
2511238,9202326,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2511238,9241349,chem,other,none,5.00,0.50,7,子图 MD 痛觉 内部化学连接
2511238,9422291,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2511238,9507904,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2511238,9530532,chem,other,none,5.00,0.50,10,子图 MD 痛觉 内部化学连接
2511238,9621307,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2511238,9720614,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2511238,10079731,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
2511238,10198121,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2511238,10319019,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2511238,11361875,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2511238,17360254,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2511238,17654624,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
2511238,17777259,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2511238,20443420,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
2511238,20443598,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,1690576,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,2816457,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,4393350,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,4664256,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,5691934,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2619565,6633635,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
2619565,6723364,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,10893103,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2619565,10982951,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2619565,11263687,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
2619565,12273754,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,12325227,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
2619565,14493841,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,16490014,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2619565,16541149,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2619565,16594752,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2619565,17105977,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2619565,17108278,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,17360254,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2619565,17729410,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2619565,20730780,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2816457,1141813,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
2816457,1690576,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2816457,2511238,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2816457,3862443,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2816457,4393350,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
2816457,4555763,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2816457,6692908,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2816457,8229118,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
2816457,8697453,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
2816457,8970595,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2816457,9051500,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2816457,9161929,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2816457,9202326,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2816457,9241349,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2816457,9530532,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
2816457,9621307,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
2816457,9720614,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2816457,10079731,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2816457,10198121,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2816457,17360254,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2816457,17654624,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2816457,20443420,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2881070,1042538,chem,other,none,5.00,0.50,12,子图 MD 痛觉 内部化学连接
2881070,1141813,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2881070,2511238,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2881070,2816457,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2881070,3862443,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2881070,4128002,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2881070,4393350,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2881070,6692908,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2881070,8229118,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2881070,8412625,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2881070,8697453,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
2881070,8970595,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2881070,9202326,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2881070,9241349,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2881070,9422291,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2881070,9530532,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
2881070,9621307,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2881070,9637388,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
2881070,9720614,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2881070,10319019,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
2881070,17326218,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
2881070,17777259,chem,other,none,5.00,0.50,9,子图 MD 痛觉 内部化学连接
2881070,18655517,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
3093284,1690576,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
3093284,2619565,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
3093284,4664256,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
3093284,5691934,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
3093284,5744058,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
3093284,5750884,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
3093284,6723364,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
3093284,10893103,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
3093284,11263687,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
3093284,12195879,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
3093284,16356967,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
3093284,16485518,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
3093284,16490014,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
3093284,16541149,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
3093284,16594752,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
3093284,17105977,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
3093284,17108278,chem,other,none,5.00,0.50,7,子图 MD 痛觉 内部化学连接
3093284,17165621,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
3093284,17729424,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
