synapse_from,synapse_to,synapse_type,neurotransmitter,receptor,g_max_ns,delay_ms,weight,note
1646076,10921106,chem,other,none,5.00,0.50,8,子图 运动命令 内部化学连接
1646076,12474815,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1646076,13557064,chem,other,none,5.00,0.50,10,子图 运动命令 内部化学连接
1646076,13714311,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1646076,13727202,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1646076,14492880,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1646076,14655602,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1646076,14726069,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1646076,15672269,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1646076,16167914,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1646076,16195633,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1646076,16342197,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1646076,16851496,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1646076,16851718,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1646076,16852589,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1646076,17022668,chem,other,none,5.00,0.50,6,子图 运动命令 内部化学连接
1646076,17087885,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1646076,17379420,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1646076,17454636,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1646076,18232369,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1646076,18464581,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1646076,18545747,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1646076,18551732,chem,other,none,5.00,0.50,6,子图 运动命令 内部化学连接
1678567,1678567,chem,other,none,5.00,0.50,2,子图 运动命令 内部化学连接
1678567,10238739,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1678567,10553248,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1678567,13652117,chem,other,none,5.00,0.50,16,子图 运动命令 内部化学连接
1678567,14586769,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1678567,15894178,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1678567,16545113,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1678567,16667592,chem,other,none,5.00,0.50,5,子图 运动命令 内部化学连接
1678567,16670540,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1678567,16952665,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1678567,16952691,chem,other,none,5.00,0.50,5,子图 运动命令 内部化学连接
1678567,17448356,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1679034,1678567,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1679034,6190181,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
1679034,8025665,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1679034,9077224,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1679034,11362334,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1679034,11625573,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1679034,13714311,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1679034,16671014,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1679034,16851496,chem,other,none,5.00,0.50,4,子图 运动命令 内部化学连接
1679034,16851718,chem,other,none,5.00,0.50,1,子图 运动命令 内部化学连接
1679034,16851791,chem,other,none,5.00,0.50,3,子图 运动命令 内部化学连接
